articleNumber,title,manufacturer,categoryPath,details,specs,price,currency
AUD-1001,Sony WH-1000XM5 Wireless Headphones,Sony,Electronics > Audio > Headphones,"Over-ear Bluetooth headphones with industry-leading noise cancelling and up to 30 hours of battery life.",color=Midnight Blue;connectivity=Bluetooth 5.2;batteryLife=30 hours,379.00,EUR
AUD-1002,Bose QuietComfort Ultra Headphones,Bose,Electronics > Audio > Headphones,"Premium noise cancelling headphones with immersive spatial audio.",color=White Smoke;connectivity=Bluetooth 5.3;batteryLife=24 hours,449.95,EUR
AUD-1003,Apple AirPods Pro (2nd generation),Apple,Electronics > Audio > Earbuds,"In-ear wireless earbuds with active noise cancellation, transparency mode and USB-C charging case.",color=White;connectivity=Bluetooth 5.3;waterResistance=IP54,279.00,EUR
AUD-1004,Samsung Galaxy Buds3 Pro,Samsung,Electronics > Audio > Earbuds,"Wireless earbuds with adaptive noise cancelling and 24-bit hi-fi sound.",color=Silver;connectivity=Bluetooth 5.4;waterResistance=IP57,249.00,EUR
AUD-1005,Sennheiser Momentum 4 Wireless,Sennheiser,Electronics > Audio > Headphones,"Wireless over-ear headphones with 60 hours of battery life and adaptive noise cancellation.",color=Graphite;connectivity=Bluetooth 5.2;batteryLife=60 hours,299.00,EUR
AUD-1006,JBL Flip 6 Portable Speaker,JBL,Electronics > Audio > Speakers,"Waterproof portable Bluetooth speaker with bold sound and 12 hours of playtime.",color=Teal;waterResistance=IP67;batteryLife=12 hours,129.99,EUR
AUD-1007,Sonos Era 100 Smart Speaker,Sonos,Electronics > Audio > Speakers,"Compact smart speaker with stereo sound, Wi-Fi and Bluetooth streaming.",color=Black;connectivity=Wi-Fi / Bluetooth,279.00,EUR
AUD-1008,Marshall Emberton III,Marshall,Electronics > Audio > Speakers,"Rugged portable speaker with 360-degree sound and more than 32 hours of playtime.",color=Black and Brass;waterResistance=IP67,169.00,EUR
AUD-1009,Bang & Olufsen Beoplay H95,Bang & Olufsen,Electronics > Audio > Headphones,"Luxury over-ear headphones with adaptive noise cancellation and aluminium ear cups.",color=Gold Tone;batteryLife=38 hours,999.00,EUR
AUD-1010,Shure SM7B Vocal Microphone,Shure,Electronics > Audio > Microphones,"Dynamic studio microphone for podcasting, streaming and vocal recording.",connector=XLR;pattern=Cardioid,429.00,EUR
SPT-2001,Nike Pegasus 41 Running Shoes,Nike,Sports > Running > Shoes,"Responsive everyday running shoes with ReactX foam and a breathable mesh upper.",color=Black/White;size=44;gender=Men,139.99,EUR
SPT-2002,adidas Ultraboost 5 Running Shoes,adidas,Sports > Running > Shoes,"Cushioned running shoes with Light BOOST midsole for long distances.",color=Core Black;size=42;gender=Women,189.95,EUR
